,index,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,player_id
100,10948,10948,Rodions Kurucs,BKN,22.0,205.74,103.418976,None,Latvia,2018,2,40,39,4.2,2.5,0.8,-2.3,0.032,0.132,0.145,0.5539999999999999,0.095,2019-20,101
101,10023,10023,Malcolm Delaney,ATL,29.0,190.5,86.18248,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,54,6.3,1.9,3.0,-4.5,0.009000000000000001,0.09,0.166,0.519,0.244,2017-18,102
102,2927,2927,Zydrunas Ilgauskas,CLE,28.0,220.98,117.93392,None,Lithuania,1996,1,20,81,17.2,7.5,1.6,-7.9,0.108,0.172,0.279,0.516,0.101,2002-03,103
103,8710,8710,Pablo Prigioni,LAC,39.0,190.5,83.91452,None,Argentina,Undrafted,Undrafted,Undrafted,59,2.5,1.9,2.2,-2.7,0.05,0.103,0.112,0.482,0.235,2015-16,104
104,7018,7018,Keith Bogans,NJN,32.0,195.58,97.52228,Kentucky,USA,2003,2,43,5,4.2,2.2,0.6,-19.7,0.059,0.081,0.135,0.453,0.058,2011-12,105
105,5354,5354,Eddie Gill,MIL,30.0,182.88,86.18248,Weber State,USA,Undrafted,Undrafted,Undrafted,6,2.3,0.7,1.8,-21.1,0.0,0.154,0.131,0.778,0.44,2008-09,106
106,1971,1971,Chris Mills,GSW,31.0,200.66,97.975872,Arizona,USA,1993,1,22,15,12.0,6.2,1.2,-4.3,0.049,0.147,0.195,0.435,0.061,2000-01,107
107,10940,10940,Rayjon Tucker,UTA,22.0,190.5,94.800728,None,USA,Undrafted,Undrafted,Undrafted,14,1.4,0.9,0.1,-3.5,0.023,0.157,0.124,0.448,0.032,2019-20,108
108,4843,4843,Nazr Mohammed,DET,29.0,208.28,113.398,Kentucky,USA,1998,1,29,51,5.6,4.5,0.2,0.1,0.134,0.207,0.184,0.5539999999999999,0.02,2006-07,109
109,4291,4291,Bo Outlaw,ORL,35.0,203.2,99.79024,Houston,USA,Undrafted,Undrafted,Undrafted,32,2.3,2.4,0.4,-0.8,0.11,0.14800000000000002,0.106,0.61,0.065,2005-06,110
110,7362,7362,Jarvis Varnado,MIA,25.0,205.74,104.32616,Mississippi State,USA,2010,2,41,13,0.6,0.7,0.2,-16.3,0.043,0.14300000000000002,0.133,0.457,0.107,2012-13,111
111,7658,7658,Serge Ibaka,OKC,24.0,208.28,111.13004,None,Democratic Republic of the Congo,2008,1,24,81,15.1,8.8,1.0,7.4,0.1,0.191,0.196,0.5760000000000001,0.051,2013-14,112
112,9919,9919,Thon Maker,MIL,21.0,215.9,101.151016,None,South Sudan,2016,1,10,74,4.8,3.0,0.6,-5.0,0.064,0.13,0.147,0.499,0.055,2017-18,113
113,2514,2514,Brad Miller,IND,26.0,213.36,118.38751200000002,Purdue,USA,Undrafted,Undrafted,Undrafted,76,13.6,8.2,2.0,-5.3,0.128,0.193,0.204,0.5720000000000001,0.124,2001-02,114
114,6182,6182,Nazr Mohammed,CHA,32.0,208.28,113.398,Kentucky,USA,1998,1,29,58,7.9,5.2,0.5,-0.8,0.138,0.238,0.21,0.578,0.049,2009-10,115
